utt_id,session,pass,verbatim_text,hypothesis,model_size,compute_type,elapsed_ms,substitutions,deletions,insertions,reference_length,wer,alignment
s01_B_natural_D016,s01,B_natural,Wet leaves clogged the gutter above the window.,Wet leaves clogged the gutter above the window.,large-v3,int8,53045.8,0,0,0,8,0.0,wet leaves clogged the gutter above the window
s01_B_natural_D017,s01,B_natural,I bought a secondhand bicycle for forty dollars.,I bought a secondhand bicycle for $40.,large-v3,int8,52698.9,0,0,0,8,0.0,i bought a secondhand bicycle for forty dollars
s01_B_natural_D018,s01,B_natural,The mountain village looked empty in the photograph.,The mountain village looked empty in the photograph.,large-v3,int8,52441.8,0,0,0,8,0.0,the mountain village looked empty in the photograph
s01_B_natural_D019,s01,B_natural,Three sparrows fought over a crust of bread.,Three sparrows fought over a crust of bread.,large-v3,int8,53113.5,0,0,0,8,0.0,three sparrows fought over a crust of bread
s01_B_natural_D020,s01,B_natural,His youngest brother plays trumpet in the marching band.,His youngest brother plays trumpet in the marching band.,large-v3,int8,52839.2,0,0,0,9,0.0,his youngest brother plays trumpet in the marching band
s01_B_natural_D022,s01,B_natural,Snow buried the fence posts by early January.,Snow buried the fence posts by early January.,large-v3,int8,52658.3,0,0,0,8,0.0,snow buried the fence posts by early january
s01_B_natural_D021,s01,B_natural,"The recipe called for saffron, which we could not find.","The recipe called for saffron, which we could not find.",large-v3,int8,54596.6,0,0,0,10,0.0,the recipe called for saffron which we could not find
s01_B_natural_D023,s01,B_natural,She wrote the whole essay on a borrowed laptop.,She wrote the whole essay on a borrowed laptop.,large-v3,int8,52420.7,0,0,0,9,0.0,she wrote the whole essay on a borrowed laptop
s01_B_natural_D024,s01,B_natural,The engine coughed once and then went silent.,The engine coughed once and then went silent.,large-v3,int8,53292.7,0,0,0,8,0.0,the engine coughed once and then went silent
s01_B_natural_D025,s01,B_natural,Amber light spilled across the polished floorboards.,Amber light spilled across the polished floorboards.,large-v3,int8,53856.8,0,0,0,7,0.0,amber light spilled across the polished floorboards
s01_B_natural_D026,s01,B_natural,We watched the storm move east across the valley.,We watched the storm move east across the valley.,large-v3,int8,52968.3,0,0,0,9,0.0,we watched the storm move east across the valley
s01_B_natural_D027,s01,B_natural,The tailor pinned the hem with practiced fingers.,The tailor pinned the hem with practiced fingers.,large-v3,int8,53066.2,0,0,0,8,0.0,the tailor pinned the hem with practiced fingers
s01_B_natural_D028,s01,B_natural,Salt crusted the windows of the beach house.,Salt crusted the windows of the beach house.,large-v3,int8,54313.6,0,0,0,8,0.0,salt crusted the windows of the beach house
s01_B_natural_D029,s01,B_natural,Their apartment smelled faintly of turpentine.,Their apartment smelled faintly of turpentine.,large-v3,int8,52898.0,0,0,0,6,0.0,their apartment smelled faintly of turpentine
s01_B_natural_D030,s01,B_natural,A heron stood motionless on the edge of the pond.,A heron stood motionless on the edge of the pond.,large-v3,int8,54885.5,0,0,0,10,0.0,a heron stood motionless on the edge of the pond
s01_B_natural_D031,s01,B_natural,The clock in the hallway runs about four minutes fast.,The clock in the hallway runs about four minutes fast.,large-v3,int8,53722.6,0,0,0,10,0.0,the clock in the hallway runs about four minutes fast
s01_B_natural_D032,s01,B_natural,He folded the newspaper and set it on the table.,He folded the newspaper and set it on the table.,large-v3,int8,54105.1,0,0,0,10,0.0,he folded the newspaper and set it on the table
s01_B_natural_D033,s01,B_natural,Bright green algae covered the surface of the water.,Bright green algae covered the surface of the water.,large-v3,int8,53527.7,0,0,0,9,0.0,bright green algae covered the surface of the water
s01_B_natural_D034,s01,B_natural,The children traded stickers during the long bus ride.,The children traded stickers during the long bus ride.,large-v3,int8,53609.8,0,0,0,9,0.0,the children traded stickers during the long bus ride
s01_B_natural_D035,s01,B_natural,Rain hammered the tin roof for most of the night.,Rain hammered the tin roof for most of the night.,large-v3,int8,54008.6,0,0,0,10,0.0,rain hammered the tin roof for most of the night
s01_B_natural_F001,s01,B_natural,"I don't really know what she was thinking, honestly.","I don't really know what she was thinking, honestly.",large-v3,int8,53860.2,0,0,0,9,0.0,i don't really know what she was thinking honestly
s01_B_natural_F002,s01,B_natural,"We ended up walking the whole way home, anyway.",We ended up walking the whole way home anyway.,large-v3,int8,52171.5,0,0,0,9,0.0,we ended up walking the whole way home anyway
s01_B_natural_F003,s01,B_natural,It was one of those afternoons where nothing happened at all.,It was one of those afternoons where nothing happened at all.,large-v3,int8,53377.7,0,0,0,11,0.0,it was one of those afternoons where nothing happened at all
s01_B_natural_F004,s01,B_natural,"He said he'd call back, but he never really did.","He said he'd call back, but he never really did.",large-v3,int8,53670.2,0,0,0,10,0.0,he said he'd call back but he never really did
s01_B_natural_F006,s01,B_natural,I guess that's just how it goes sometimes.,I guess that's just how it goes sometimes.,large-v3,int8,51697.8,0,0,0,8,0.0,i guess that's just how it goes sometimes
s01_B_natural_F005,s01,B_natural,"The whole thing fell apart before anyone noticed, apparently.","The whole thing fell apart before anyone noticed, apparently.",large-v3,int8,53241.4,0,0,0,9,0.0,the whole thing fell apart before anyone noticed apparently
s01_B_natural_F007,s01,B_natural,She left the party early and nobody said anything.,She left the party early and nobody said anything.,large-v3,int8,51769.0,0,0,0,9,0.0,she left the party early and nobody said anything
s01_B_natural_F008,s01,B_natural,"It's not that I mind, it's just kind of strange.","It's not that I mind, it's just kind of strange.",large-v3,int8,53899.6,0,0,0,10,0.0,it's not that i mind it's just kind of strange
s01_B_natural_F009,s01,B_natural,They moved out to Oregon a couple years ago.,They moved out to Oregon a couple years ago.,large-v3,int8,52343.4,0,0,0,9,0.0,they moved out to oregon a couple years ago
s01_B_natural_F010,s01,B_natural,"Nothing about that story adds up, if you think about it.",Nothing about that story adds up if you think about it.,large-v3,int8,53348.7,0,0,0,11,0.0,nothing about that story adds up if you think about it
s01_B_natural_F011,s01,B_natural,I've been meaning to write back for a while now.,I've been meaning to write back for a while now.,large-v3,int8,53056.4,0,0,0,10,0.0,i've been meaning to write back for a while now
s01_B_natural_F012,s01,B_natural,We sat there in the car for maybe twenty minutes.,We sat there in the car for maybe 20 minutes.,large-v3,int8,53169.3,0,0,0,10,0.0,we sat there in the car for maybe twenty minutes
s01_B_natural_F013,s01,B_natural,He's been doing that same job for eleven years.,He's been doing that same job for 11 years.,large-v3,int8,52809.3,0,0,0,9,0.0,he's been doing that same job for eleven years
s01_B_natural_F014,s01,B_natural,It rained the entire week we were on the island.,It rained the entire week we were on the island.,large-v3,int8,53011.8,0,0,0,10,0.0,it rained the entire week we were on the island
s01_B_natural_F015,s01,B_natural,"I never learned how to swim, which is embarrassing.","I never learned how to swim, which is embarrassing.",large-v3,int8,53319.3,0,0,0,9,0.0,i never learned how to swim which is embarrassing
s01_B_natural_F016,s01,B_natural,That's pretty much all anyone talked about afterward.,That's pretty much all anyone talked about afterwards.,large-v3,int8,53896.7,1,0,0,8,0.125,that's pretty much all anyone talked about [afterward->afterwards]
s01_B_natural_F017,s01,B_natural,She kept apologizing even though it wasn't her fault.,"She kept apologizing, even though it wasn't her fault.",large-v3,int8,53901.6,0,0,0,9,0.0,she kept apologizing even though it wasn't her fault
s01_B_natural_F018,s01,B_natural,"The apartment was smaller than we expected, obviously.","The apartment was smaller than we expected, obviously.",large-v3,int8,55339.0,0,0,0,8,0.0,the apartment was smaller than we expected obviously
s01_B_natural_F019,s01,B_natural,I think I left my keys somewhere in the stairwell.,I think I had left my keys somewhere in the stairwell.,large-v3,int8,55126.0,0,0,1,10,0.1,i think i [+had] left my keys somewhere in the stairwell
s01_B_natural_F020,s01,B_natural,"It turned out fine, more or less, in the end.","It turned out fine, more or less, in the end.",large-v3,int8,56420.0,0,0,0,10,0.0,it turned out fine more or less in the end
s01_B_natural_F021,s01,B_natural,Nobody warned us about the traffic on the way in.,Nobody warned us about the traffic on the way in.,large-v3,int8,54687.9,0,0,0,10,0.0,nobody warned us about the traffic on the way in
s01_B_natural_F022,s01,B_natural,He mentioned it once and then never brought it up again.,He mentioned it once and then never brought it up again.,large-v3,int8,55345.3,0,0,0,11,0.0,he mentioned it once and then never brought it up again
s01_B_natural_F023,s01,B_natural,We were both too tired to argue about it anymore.,We were both too tired to argue about it anymore.,large-v3,int8,54627.5,0,0,0,10,0.0,we were both too tired to argue about it anymore
s01_B_natural_F024,s01,B_natural,I've been putting that conversation off for months.,I've been putting that conversation off for months.,large-v3,int8,54930.9,0,0,0,8,0.0,i've been putting that conversation off for months
s01_B_natural_F025,s01,B_natural,It felt like the longest week of the entire summer.,it felt like the longest week of the entire summer,large-v3,int8,56304.1,0,0,0,10,0.0,it felt like the longest week of the entire summer
s01_C_creak_C001,s01,C_creak,Set a timer for twelve minutes.,Set a timer for 12 minutes.,large-v3,int8,52628.8,0,0,0,6,0.0,set a timer for twelve minutes
s01_C_creak_C002,s01,C_creak,Text Marcus that I'm running late.,Text Marcus that I'm running late.,large-v3,int8,53249.5,0,0,0,6,0.0,text marcus that i'm running late
s01_C_creak_C003,s01,C_creak,What's the weather in Newton tomorrow?,Or what's the weather in Newton tomorrow?,large-v3,int8,53741.3,0,0,1,6,0.1667,[+or] what's the weather in newton tomorrow
s01_C_creak_C004,s01,C_creak,Play the new Noah Kahn album,Play the new Noah Cotton album.,large-v3,int8,52802.3,1,0,0,6,0.1667,play the new noah [kahn->cotton] album
s01_C_creak_C005,s01,C_creak,Remind me to email my advisor on Monday.,And remind me to email my advisor on Monday.,large-v3,int8,54127.9,0,0,1,8,0.125,[+and] remind me to email my advisor on monday
s01_C_creak_C006,s01,C_creak,How long is the flight to Tokyo?,How long is the flight to Tokyo?,large-v3,int8,54024.9,0,0,0,7,0.0,how long is the flight to tokyo
s01_C_creak_C007,s01,C_creak,Add oat milk to my grocery list.,Add oat milk to my grocery list.,large-v3,int8,53997.3,0,0,0,7,0.0,add oat milk to my grocery list
s01_C_creak_C008,s01,C_creak,Call the gelato shop on Orchard Street.,call the gelato shop on Orchard Street.,large-v3,int8,54282.9,0,0,0,7,0.0,call the gelato shop on orchard street
s01_C_creak_C009,s01,C_creak,Turn off the bedroom lights.,Turn off the bedroom lights.,large-v3,int8,53605.5,0,0,0,5,0.0,turn off the bedroom lights
s01_C_creak_C010,s01,C_creak,What time does the library close today?,What time does the library close today?,large-v3,int8,54486.3,0,0,0,7,0.0,what time does the library close today
s01_C_creak_C011,s01,C_creak,Navigate to Grand Central Terminal.,navigate to Grand Central Terminal.,large-v3,int8,54378.7,0,0,0,5,0.0,navigate to grand central terminal
s01_C_creak_C012,s01,C_creak,Send a photo to the choir group chat.,Send a photo to the choir group chat.,large-v3,int8,53954.3,0,0,0,8,0.0,send a photo to the choir group chat
s01_C_creak_C013,s01,C_creak,Show me my calendar for next Thursday.,Show me my calendar for next Thursday.,large-v3,int8,53527.9,0,0,0,7,0.0,show me my calendar for next thursday
s01_C_creak_C014,s01,C_creak,Convert eighty degrees Fahrenheit to Celsius.,convert 80 degrees Fahrenheit to Celsius.,large-v3,int8,53974.7,0,0,0,6,0.0,convert eighty degrees fahrenheit to celsius
s01_C_creak_C015,s01,C_creak,Skip to the next song.,skipped in the next song.,large-v3,int8,53787.4,2,0,0,5,0.4,[skip->skipped] [to->in] the next song
s01_C_creak_C016,s01,C_creak,What's the score of the Mets game?,What's the score of the Mets game?,large-v3,int8,55102.2,0,0,0,7,0.0,what's the score of the mets game
s01_C_creak_C017,s01,C_creak,Set an alarm for six forty-five.,Set an alarm for 645.,large-v3,int8,53441.5,0,0,1,7,0.1429,set an alarm for six [+hundred] forty five
s01_C_creak_C018,s01,C_creak,Find a ramen place open past midnight.,Find a ramen place open past midnight,large-v3,int8,51665.8,0,0,0,7,0.0,find a ramen place open past midnight
s01_C_creak_C019,s01,C_creak,Read my last message from Anjali.,read my last message from Anjali,large-v3,int8,51988.5,0,0,0,6,0.0,read my last message from anjali
s01_C_creak_C020,s01,C_creak,How do you say thank you in Japanese?,how do you say thank you in Japanese?,large-v3,int8,53000.9,0,0,0,8,0.0,how do you say thank you in japanese
s01_C_creak_C021,s01,C_creak,Start a workout on my watch.,start a workout on my watch.,large-v3,int8,52160.6,0,0,0,6,0.0,start a workout on my watch
s01_C_creak_C022,s01,C_creak,Cancel my reminder about the dentist.,"Oh, cancel my reminder about the dentist.",large-v3,int8,53162.1,0,0,1,6,0.1667,[+oh] cancel my reminder about the dentist
s01_C_creak_C023,s01,C_creak,Take a note about the pitch analysis.,take a note about the pitch analysis.,large-v3,int8,53385.1,0,0,0,7,0.0,take a note about the pitch analysis
s01_C_creak_C024,s01,C_creak,What is twenty percent of forty-three dollars?,What is 20% of $43?,large-v3,int8,54775.9,0,0,0,8,0.0,what is twenty percent of forty three dollars
s01_C_creak_C025,s01,C_creak,Turn the volume down a little.,turn the volume down a little.,large-v3,int8,54137.0,0,0,0,6,0.0,turn the volume down a little
s01_C_creak_C026,s01,C_creak,Open the Praat documentation in Safari.,open the Pratt documentation in Safari.,large-v3,int8,54181.7,1,0,0,6,0.1667,open the [praat->pratt] documentation in safari
s01_C_creak_C027,s01,C_creak,Schedule a meeting for Friday afternoon.,scheduled a meeting for Friday afternoon.,large-v3,int8,53339.8,1,0,0,6,0.1667,[schedule->scheduled] a meeting for friday afternoon
s01_C_creak_C028,s01,C_creak,Is it going to rain this evening?,Is it going to rain this evening?,large-v3,int8,54169.6,0,0,0,7,0.0,is it going to rain this evening
s01_C_creak_C029,s01,C_creak,Play something quiet while I study.,play something quiet while I study.,large-v3,int8,54142.9,0,0,0,6,0.0,play something quiet while i study
s01_C_creak_C030,s01,C_creak,Delete the last voice memo.,delete the last voice memo.,large-v3,int8,52713.8,0,0,0,5,0.0,delete the last voice memo
s01_C_creak_C031,s01,C_creak,What's the fastest way to Morningside Heights?,what's the fastest way to Morningside Heights.,large-v3,int8,53802.4,0,0,0,7,0.0,what's the fastest way to morningside heights
s01_C_creak_C032,s01,C_creak,Add a wisteria trellis to my shopping list.,add wisteria trellis to my shopping list,large-v3,int8,53872.4,0,1,0,8,0.125,add [-a] wisteria trellis to my shopping list
s01_C_creak_C033,s01,C_creak,Tell me a joke about linguists.,Tell me a joke about linguists.,large-v3,int8,53001.6,0,0,0,6,0.0,tell me a joke about linguists
s01_C_creak_C034,s01,C_creak,Show me photos from Cape Cod.,Show me photos from Cape Cod.,large-v3,int8,55070.8,0,0,0,6,0.0,show me photos from cape cod
s01_C_creak_C035,s01,C_creak,How many days until September first?,How many days until September 1st?,large-v3,int8,53721.0,1,0,0,6,0.1667,how many days until september [first->onest]
s01_C_creak_C036,s01,C_creak,Turn on do not disturb until noon.,Turn on Do Not Disturb until noon.,large-v3,int8,53194.8,0,0,0,7,0.0,turn on do not disturb until noon
s01_C_creak_C037,s01,C_creak,Where is the nearest pharmacy?,Where is the nearest pharmacy?,large-v3,int8,52607.4,0,0,0,5,0.0,where is the nearest pharmacy
s01_C_creak_C038,s01,C_creak,Email the lab about the annotation deadline.,email the lab about the annotation deadlock.,large-v3,int8,54067.8,1,0,0,7,0.1429,email the lab about the annotation [deadline->deadlock]
s01_C_creak_C039,s01,C_creak,What's on my agenda this morning?,what's on my agenda this morning.,large-v3,int8,54145.3,0,0,0,6,0.0,what's on my agenda this morning
s01_C_creak_C040,s01,C_creak,Play white noise for thirty minutes.,Play white noise for 30 minutes.,large-v3,int8,53044.2,0,0,0,6,0.0,play white noise for thirty minutes
s01_C_creak_D001,s01,C_creak,The old bridge groaned under the weight of the truck.,The old bridge groaned under the weight of the truck.,large-v3,int8,54452.8,0,0,0,10,0.0,the old bridge groaned under the weight of the truck
s01_C_creak_D003,s01,C_creak,Seven zebras wandered across the dusty road.,Seven zebras wandered across the dusty road.,large-v3,int8,51252.7,0,0,0,7,0.0,seven zebras wandered across the dusty road
s01_C_creak_D002,s01,C_creak,She poured the vinegar into a shallow glass dish.,She poured the vinegar into a shallow glass dish.,large-v3,int8,51748.0,0,0,0,9,0.0,she poured the vinegar into a shallow glass dish
s01_C_creak_D005,s01,C_creak,The judge asked for silence in the crowded room.,The judge asked for silence in the crowded room.,large-v3,int8,52205.1,0,0,0,9,0.0,the judge asked for silence in the crowded room
s01_C_creak_D004,s01,C_creak,My grandmother kept her thimbles in a wooden box.,My grandmother kept her thimbles in a wooden box.,large-v3,int8,53068.1,0,0,0,9,0.0,my grandmother kept her thimbles in a wooden box
s01_C_creak_D006,s01,C_creak,Thick fog settled over the harbor before dawn.,and thick fog settled over the harbor before dawn.,large-v3,int8,53301.8,0,0,1,8,0.125,[+and] thick fog settled over the harbor before dawn
s01_C_creak_D007,s01,C_creak,He measured the flour twice and still got it wrong.,he measured the flower twice and still got it wrong.,large-v3,int8,52494.2,1,0,0,10,0.1,he measured the [flour->flower] twice and still got it wrong
s01_C_creak_D008,s01,C_creak,Purple thistles grew along the railway embankment.,Purple thistles grew along the railway embankment.,large-v3,int8,52884.5,0,0,0,7,0.0,purple thistles grew along the railway embankment
s01_C_creak_D009,s01,C_creak,The choir rehearsed the same passage eleven times.,The choir rehearsed with the same passage 11 times.,large-v3,int8,54846.4,0,0,1,8,0.125,the choir rehearsed [+with] the same passage eleven times
s01_C_creak_D011,s01,C_creak,They shipped the equipment in reinforced crate.,They shipped the equipment in reinforced crates.,large-v3,int8,53408.7,1,0,0,7,0.1429,they shipped the equipment in reinforced [crate->crates]
s01_C_creak_D010,s01,C_creak,A single moth circled the porch light all evening.,noon. A single moth circled the porch light all evening.,large-v3,int8,54625.0,0,0,1,9,0.1111,[+noon] a single moth circled the porch light all evening
s01_C_creak_D012,s01,C_creak,The tide pulled the small boat towards the rocks.,The tide pulled the small boat towards the rocks.,large-v3,int8,53518.3,0,0,0,9,0.0,the tide pulled the small boat towards the rocks
s01_C_creak_D013,s01,C_creak,Cinnamon and cloves filled the kitchen with warmth.,Cinnamon and cloves filled the kitchen with warmth.,large-v3,int8,53975.0,0,0,0,8,0.0,cinnamon and cloves filled the kitchen with warmth
s01_C_creak_D014,s01,C_creak,Nobody remembered who had locked the back doors.,Nobody remembered who had locked the back doors.,large-v3,int8,53252.1,0,0,0,8,0.0,nobody remembered who had locked the back doors
s01_C_creak_D015,s01,C_creak,The librarian stamped each card with quiet precision.,The librarian stabbed each card with quiet precision.,large-v3,int8,53979.9,1,0,0,8,0.125,the librarian [stamped->stabbed] each card with quiet precision
s01_C_creak_D016,s01,C_creak,Wet leaves clogged the gutter above the window.,wet leaves clogged the gutter above the window.,large-v3,int8,54244.7,0,0,0,8,0.0,wet leaves clogged the gutter above the window
s01_C_creak_D017,s01,C_creak,I bought a secondhand bicycle for forty dollars.,I brought a secondhand bicycle for $40.,large-v3,int8,53893.4,1,0,0,8,0.125,i [bought->brought] a secondhand bicycle for forty dollars
s01_C_creak_D018,s01,C_creak,The mountain village looked empty in the photograph.,The mountain village looked empty in the photograph.,large-v3,int8,53701.7,0,0,0,8,0.0,the mountain village looked empty in the photograph
s01_C_creak_D019,s01,C_creak,Three sparrows fought over a crust of bread.,three sparrows fought over a crust of bread.,large-v3,int8,54532.1,0,0,0,8,0.0,three sparrows fought over a crust of bread
s01_C_creak_D020,s01,C_creak,His youngest brother plays trumpet in the marching band.,his youngest brother plays trumpet in the marching band.,large-v3,int8,52952.8,0,0,0,9,0.0,his youngest brother plays trumpet in the marching band
s01_C_creak_D021,s01,C_creak,"The recipe calls for saffron, which we could not find.","The recipe calls for saffron, which we could not find.",large-v3,int8,53670.1,0,0,0,10,0.0,the recipe calls for saffron which we could not find
s01_C_creak_D022,s01,C_creak,Snow buried the fence posts by early January.,Snow buried the fence posts by early January.,large-v3,int8,53005.3,0,0,0,8,0.0,snow buried the fence posts by early january
s01_C_creak_D023,s01,C_creak,She wrote the whole essay on a borrowed laptop.,She wrote the whole essay on a borrowed laptop.,large-v3,int8,52981.3,0,0,0,9,0.0,she wrote the whole essay on a borrowed laptop
s01_C_creak_D024,s01,C_creak,The engine coughed once and then went silent.,The engine coughed once and then went silent.,large-v3,int8,53669.0,0,0,0,8,0.0,the engine coughed once and then went silent
s01_C_creak_D025,s01,C_creak,Amber light spilled across the polished floorboards.,amber light spilled across the polished floorboards.,large-v3,int8,52278.3,0,0,0,7,0.0,amber light spilled across the polished floorboards
s01_C_creak_D026,s01,C_creak,We watched the storm move east across the valley.,We watched the storm move east across the valley.,large-v3,int8,52140.8,0,0,0,9,0.0,we watched the storm move east across the valley
s01_C_creak_D027,s01,C_creak,The tailor pinned the hem with practiced fingers.,the dealer pin the hem with practice finger.,large-v3,int8,52788.5,4,0,0,8,0.5,the [tailor->dealer] [pinned->pin] the hem with [practiced->practice] [fingers->finger]
s01_C_creak_D028,s01,C_creak,Salt crusted the windows of the beach house.,salt crusted the windows of the beach house.,large-v3,int8,53479.3,0,0,0,8,0.0,salt crusted the windows of the beach house
s01_C_creak_D029,s01,C_creak,Their apartment smelled faintly of turpentine.,Their apartment smelled faintly of turpentine.,large-v3,int8,52158.1,0,0,0,6,0.0,their apartment smelled faintly of turpentine
s01_C_creak_D030,s01,C_creak,A heron stood motionless at the edge of the pond.,Herod stood motionless at the edge of the pond.,large-v3,int8,53759.2,1,1,0,10,0.2,[-a] [heron->herod] stood motionless at the edge of the pond
s01_C_creak_D031,s01,C_creak,The clock in the hallway runs about four minutes fast.,the clock in the hallway runs about four minutes fast.,large-v3,int8,53267.5,0,0,0,10,0.0,the clock in the hallway runs about four minutes fast
s01_C_creak_D032,s01,C_creak,He folded the newspapers and set it on the tape.,He folded the newspapers and set it on the table.,large-v3,int8,52795.6,1,0,0,10,0.1,he folded the newspapers and set it on the [tape->table]
s01_C_creak_D034,s01,C_creak,The children traded stickers during the long bus.,The children traded stickers during the long bus drive.,large-v3,int8,51977.9,0,0,1,8,0.125,the children traded stickers during the long bus [+drive]
s01_C_creak_D033,s01,C_creak,Bright green algae covered the surface of the water.,bright green algae covered the surface of the water.,large-v3,int8,52787.8,0,0,0,9,0.0,bright green algae covered the surface of the water
s01_C_creak_D035,s01,C_creak,Rain hammered the tin roof for most of the night.,Rain hammered the tin roof for most of the night.,large-v3,int8,52703.7,0,0,0,10,0.0,rain hammered the tin roof for most of the night
s01_C_creak_F002,s01,C_creak,"We ended up walking the whole way home, anyway.",We ended up walking the whole way home anyway.,large-v3,int8,51854.8,0,0,0,9,0.0,we ended up walking the whole way home anyway
s01_C_creak_F001,s01,C_creak,"I don't know what she was thinking, honest.","Honestly, I don't know what she was thinking, honestly.",large-v3,int8,52277.4,1,0,1,8,0.25,[+honestly] i don't know what she was thinking [honest->honestly]
s01_C_creak_F003,s01,C_creak,It was one of those afternoons where nothing happens at all.,it was one of those afternoons where nothing happens at all,large-v3,int8,53757.8,0,0,0,11,0.0,it was one of those afternoons where nothing happens at all
s01_C_creak_F004,s01,C_creak,"He said he'd call back, but he never really did.","He said he'd call back, but he never really did.",large-v3,int8,54863.2,0,0,0,10,0.0,he said he'd call back but he never really did
s01_C_creak_F005,s01,C_creak,"The whole thing fell apart before anyone noticed, apparently.",take the whole thing fell apart before anyone noticed apparently,large-v3,int8,55207.9,0,0,1,9,0.1111,[+take] the whole thing fell apart before anyone noticed apparently
s01_C_creak_F006,s01,C_creak,I guess that's just how it goes sometimes.,I guess that's just how it goes sometimes.,large-v3,int8,56333.4,0,0,0,8,0.0,i guess that's just how it goes sometimes
s01_C_creak_F007,s01,C_creak,She left the party early and nobody said anything.,word. She left the party early and nobody said anything.,large-v3,int8,56484.0,0,0,1,9,0.1111,[+word] she left the party early and nobody said anything
s01_C_creak_F009,s01,C_creak,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple of years ago.,large-v3,int8,56168.7,0,0,0,10,0.0,they moved out to oregon a couple of years ago
s01_C_creak_F008,s01,C_creak,"It's not that I mind, it's just kind of strange.",it's not that I mind it's just kind of strange,large-v3,int8,58050.1,0,0,0,10,0.0,it's not that i mind it's just kind of strange
s01_C_creak_F010,s01,C_creak,"Nothing about that story adds up, if you think about it.",Nothing about that story adds up if you think about it.,large-v3,int8,56765.7,0,0,0,11,0.0,nothing about that story adds up if you think about it
s01_C_creak_F011,s01,C_creak,I've been meaning to write back for a while now,I've been meaning to write back for a while now.,large-v3,int8,57238.7,0,0,0,10,0.0,i've been meaning to write back for a while now
s01_C_creak_F012,s01,C_creak,We sat in the car for maybe 20 minutes.,We sat in the car for maybe 20 minutes.,large-v3,int8,57988.8,0,0,0,9,0.0,we sat in the car for maybe twenty minutes
s01_C_creak_F013,s01,C_creak,He's been doing that same job for eleven years.,he's been doing that same job for 11 years.,large-v3,int8,60030.8,0,0,0,9,0.0,he's been doing that same job for eleven years
s01_C_creak_F015,s01,C_creak,"I never learned how to swim, which is embarrassing.","I never learned how to swim, which is embarrassing.",large-v3,int8,63552.5,0,0,0,9,0.0,i never learned how to swim which is embarrassing
s01_C_creak_F014,s01,C_creak,It rained the entire week we were on the island.,right it rained the entire week we were on the island,large-v3,int8,64678.3,0,0,1,10,0.1,[+right] it rained the entire week we were on the island
s01_C_creak_F018,s01,C_creak,"The apartment was smaller than we expected, obviously.",the apartment was smaller than we expected obviously,large-v3,int8,62130.6,0,0,0,8,0.0,the apartment was smaller than we expected obviously
s01_C_creak_F016,s01,C_creak,That's pretty much all anyone talked about afterward.,So that's pretty much all anyone talked about afterwards.,large-v3,int8,63877.2,1,0,1,8,0.25,[+so] that's pretty much all anyone talked about [afterward->afterwards]
s01_C_creak_F017,s01,C_creak,She kept apologizing even though it wasn't her fault.,"She kept apologizing, even though it wasn't her fault.",large-v3,int8,63763.8,0,0,0,9,0.0,she kept apologizing even though it wasn't her fault
s01_C_creak_F019,s01,C_creak,I think I left my keys somewhere in the stairwell.,I think I left my keys somewhere in the stairwell.,large-v3,int8,65166.0,0,0,0,10,0.0,i think i left my keys somewhere in the stairwell
s01_C_creak_F020,s01,C_creak,"It turned out fine, more or less, in the end.","it turned out fine, more or less, in the end.",large-v3,int8,65363.4,0,0,0,10,0.0,it turned out fine more or less in the end
s01_C_creak_F021,s01,C_creak,Nobody warned us about the traffic on the way in.,Nobody warned us about the traffic on the way in.,large-v3,int8,63222.9,0,0,0,10,0.0,nobody warned us about the traffic on the way in
s01_C_creak_F022,s01,C_creak,He mentioned it once and then never brought it up again.,he mentioned it once and then never brought it up again.,large-v3,int8,61390.4,0,0,0,11,0.0,he mentioned it once and then never brought it up again
s01_C_creak_F023,s01,C_creak,We were both too tired to argue about it anymore.,We were both too tired to argue about it anymore.,large-v3,int8,60867.9,0,0,0,10,0.0,we were both too tired to argue about it anymore
s01_C_creak_F024,s01,C_creak,I've been putting that conversation off for months.,And I've been putting that conversation off for months.,large-v3,int8,60328.0,0,0,1,8,0.125,[+and] i've been putting that conversation off for months
s02_A_modal_C001,s02,A_modal,Set a timer for twelve minutes.,Set a timer for 12 minutes.,large-v3,int8,58890.5,0,0,0,6,0.0,set a timer for twelve minutes
s01_C_creak_F025,s01,C_creak,It felt like the longest week of the entire summer.,it felt like the longest week of the entire summer.,large-v3,int8,60262.4,0,0,0,10,0.0,it felt like the longest week of the entire summer
s02_A_modal_C002,s02,A_modal,Text Marcus that I'm running late.,Text Marcus that I'm running late.,large-v3,int8,58670.1,0,0,0,6,0.0,text marcus that i'm running late
s02_A_modal_C003,s02,A_modal,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,large-v3,int8,58046.7,0,0,0,6,0.0,what's the weather in newton tomorrow
s02_A_modal_C004,s02,A_modal,Play the new Noah Kahn album.,Play the new Noah Khan album.,large-v3,int8,56731.8,1,0,0,6,0.1667,play the new noah [kahn->khan] album
s02_A_modal_C006,s02,A_modal,How long is the flight to Tokyo?,How long is the flight to Tokyo?,large-v3,int8,52895.7,0,0,0,7,0.0,how long is the flight to tokyo
s02_A_modal_C005,s02,A_modal,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,large-v3,int8,53721.1,0,0,0,8,0.0,remind me to email my advisor on monday
